,Code,Product label,,,,,,,,,,,,HS6Desc,BEC5Code1
57,848640,Machines and apparatus specified in Note 9 C to chapter 84,,,,,,,,,,,,"Machines and apparatus of a kind used solely or principally for the manufacture or repair of masks and reticles, assembling semiconductor devices or electronic integrated circuits, or for lifting, handling, loading or unloading items of heading 8486",612020
58,100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",,,,,,,,,,,,"Cereals; wheat and meslin, other than durum wheat, other than seed",1111
59,720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",,,,,,,,,,,,"Iron or non-alloy steel; in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, of a thickness of less than 3mm",511210
60,20230,"Frozen, boneless meat of bovine animals",,,,,,,,,,,,"Meat; of bovine animals, boneless cuts, frozen",113101
61,852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",,,,,,,,,,,,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a colour video display or screen",613202
62,870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",,,,,,,,,,,,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",513202
63,20130,"Fresh or chilled bovine meat, boneless",,,,,,,,,,,,"Meat; of bovine animals, boneless cuts, fresh or chilled",113101
64,880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,,,,,,,,,,,,"Aeroplanes and other aircraft; of an unladen weight exceeding 2000kg but not exceeding 15,000kg",512020
65,870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",,,,,,,,,,,,Vehicles; with only electric motor for propulsion,513202
66,711031,"Rhodium, unwrought or in powder form",,,,,,,,,,,,"Metals; rhodium, unwrought or in powder form",411210
67,711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",,,,,,,,,,,,"Waste and scrap of precious metals; of platinum, including metal clad with platinum but excluding sweepings containing other precious metals",411210
68,271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",,,,,,,,,,,,"Petroleum gases and other gaseous hydrocarbons; liquefied, butanes",213101
69,870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",,,,,,,,,,,,Vehicle parts; gear boxes and parts thereof,511220
70,901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",,,,,,,,,,,,"Medical, surgical or dental instruments and appliances; n.e.c. in heading no. 9018",712020
71,903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",,,,,,,,,,,,"Instruments, appliances and machines; for measuring or checking n.e.c. in chapter 90",212
